Label,Message
ham,"Yeah, I m sure you are! You guys need to beat the Sox"
ham,meet john 2 days after diwali
ham,Are you going to Todd's party tomorrow?
spam,"Dear SPICE JET Customer, flight 3I382 from BHO shall be boarding from gate 13G. Boarding gate closes16 mins prior to the departure time."
ham,"Hey! I am going to home town, this yr end for almost 2 weeks."
spam,OTP is 288817 for the txn of INR 5667.00 at AMAZON SELLER SERVICES on your SBI bank Debit card ending with 6728. Valid till 14:57:10. Do not share the OTP with anyone for security reasons
ham,check with john the meeting venue for tomorrow
ham,"Sure, I'll be there"
ham,Ice skating and coffee?
ham,"Wait, get some red capsicums as well, one kilo."
spam,We have received your order OD547154049608964233 amounting to Rs.319 and it is being processed.You can manage your order at http://fkrt.it/ssQyFuuuuN . Thank You!
spam,Delivered: Your package withSamsung Evo... and 4 other item(s)was successfully delivered. More info at http://amazon.com/cBfWh1e
spam,"Greetings, PNB wishes you a Happy Birthday."
spam,"Greetings, Flipkart wishes you a Happy Muharram."
ham,diwali is on 11th november 2015
ham,meeting will be on 4th for the coming 2 months
ham,Hey!! Can you bring me 1 bottle of Coca cola please..some guests are coming
ham,Smith's nephew will come on Tuesday
spam,Delivered: Your package withHOMEC Kids Collection Digital Printed Blackout Curtain- Set of 2 (Size - WA4was successfully delivered. More info at http://myantra.com/cBfWh1e
ham,thanks! see ya at 7 for dinner
ham,i have to go to gym tomorrow
ham,meet mary after her wedding
ham,check the battery of the invertor by evening
spam,"Rs.1225.00 was spent on ur HDFCBank CREDIT Card ending 7967 on 2016-01-21:17:53:33 at http:www.tilia.in.Avl bal - Rs.70052.00, curr o/s - Rs.54948.00"
ham,meet mr. cho over lunch in south korea on 17th
spam,"Hello Swaraj Abhiyan Member, Should Swaraj Abhiyan launch a political party? Plz call 080 49761045 and give your opinion."
ham,Wanna watch the grand finals at 4?
ham,call the bank on monday for the query
ham,Heyy!! When is peter's birthday party
ham,mary's birthday tomorrow
spam,Congratulations! Requested Airtel Mobile 9167981694 has been added to your myHome Rewards group. The additional data benefit will be activated on your DSL ID within 30 min.
spam,OTP is 826152 for the txn of INR 13622.00 at AMAZON SELLER SERVICES on your HDFC bank CREDIT card ending with 3467. Valid till 17:20:34. Do not share the OTP with anyone for security reasons
spam,"Dear Customer, with reference to the Service request no. 36253518 on yourDocomo Mobile, the defaulting unregistered telemarketer number has been disconnected by the concerned operator basis the reported violation. If you are not satisfied with the resolution, contact 784"
spam,"Dear SpiceJet customer (PNR-QCDSKN): Your flight SG 191 dated 01-Jun-16 from Delhi to Bengaluru has been cancelled due to operational reasons. For fastest response, please go to our self-service web tool at http://changes.spicejet.com for updated flight information and to rebook yourself on an alternate flight if required. If after visiting our self-service tool you need further assistance, please call your travel agent or our call centre at 7302194975/ 8837725337. We regret the inconvenience caused."
spam,"Dear Member (UAN :121500025845), Rs. 11614 for 11/2016 has been credited in your EPF account.For details, download m-epf mobile app from Google Play store."
ham,"Ok, thanks again for the reminder."
ham,When do you get off work tomorrow?
ham,remind me for laptop at 12 o'clock
ham,Actualy the design is with Peter
spam,"Dear customer, We wish you a Happy Muharram. Thanks for being a Bimal Auto Agency customer."
spam,Delivered: Your package withPhilips DJ SHL3000/00 Over-Ear...was successfully delivered. More info at http://snapdeal.com/cBfWh1e
ham,meet john in bangalore
ham,meet mr. cho over lunch in south korea on 17th.
ham,chemistry class at 1 for an hour
ham,Tomorrow I have to cancel one Appointment of day after tomorrow.
ham,I will also attend then
ham,Cleared my test! Feeling happy :)
ham,i want to have coffee with john @ 5:58
ham,Hey do you want to grab lunch at that new place downtown on Friday?
ham,Yes yes tell me dear...
ham,drop off rohini in office at 11am
ham,Hey no .. M busy coz I am attending Dr. Shastri's lecture that day at atomic energy plant
ham,"Ok, will take care of that"
ham,yep! see you then
spam,"Dear Customer, You have made a Debit Card purchase of INR598.00 on 24 Apr. Info.VPS*WESTSIDE, . Your Net Available Balance is INR 17,652.08."
ham,September 11th at 1 p.m.
ham,drop john to soccer field in the evening
ham,today's meeting timings are from 4 to 4:30pm
spam,"Dear INDIGO Customer, flight 4W743 from PNY shall be boarding from gate 26V. Boarding gate closes7 mins prior to the departure time."
spam,Delivered: Your package withAd 280397364: We have picked up your item. Wewas successfully delivered. More info at http://ebay.com/cBfWh1e
spam,Delivered: Your package withYour Money or Your Life: 9 Steps to Transforming Your Relationship with MoA4was successfully delivered. More info at http://snapdeal.com/cBfWh1e
spam,"Dear Air India Customer, flight 6K788 from IXE shall be boarding from gate 26X. Boarding gate closes21 mins prior to the departure time."
ham,Ya tell me when.
ham,I will go with my daughter Susan for a house warming ceremony day after tomorrow
spam,Your order #Lcmf971013 with Mad Over Donuts has been dispatched.
spam,"Dear SPICE JET Customer, flight 1H447 from BHU shall be boarding from gate 11W. Boarding gate closes13 mins prior to the departure time."
spam,"Rs.1000.00 was spent on ur HDFCBank CREDIT Card ending 7967 on 2015-10-04:14:12:36 at SHELL S S R ENTERPRISE.Avl bal - Rs.744076.00, curr o/s - Rs.16288.00"
ham,lets meet last weekend of the coming month
spam,"Weekend calls for a Buy1 Get1 @ Papa John's for nxt 3 days, Call 176353375142 or order @ https://goo.gl/8DedSJ Code:PJFRI01 *T&C Unsub SMS:MISCALL 8203292458"
ham,Gotta respond to the questions he asked yesterday
ham,i will call you on diwali
ham,yes have to :).. M his father :)
ham,remind me to start x(activity) from y(time)
spam,"Dear INDIGO Customer, flight 6C618 from BHO shall be boarding from gate 12M. Boarding gate closes26 mins prior to the departure time."
ham,et's attend the Globo Entrepreneur Summit & Expo 2015 event@Sun Dec 06 2015 at 09:00 am
ham,remind me of calling mary at 7
spam,"Dear customer, We wish you a Happy Muharram. Thanks for being a UCO Bank customer."
spam,"Dear Customer, Your Ac XXXXXXXX8226 is debited with INR10,000.00 on 25 Jul. Info.EBA*MF-FRANKLIN-42977050*201. Your Total Avbl. Bal is INR24,719.48. 57065902764. Your cashback on this product will be added to Paytm Wallet within 24 hrs or you can visit Your Orders section on Paytm &amp; claim it now."
ham,Ok sweety!! I will pick you around 8 PM.
ham,lets meet 3rd before 23 oct
spam,"Greetings, ICICI Bank wishes you a Happy Ram Navami."
ham,student orientation
ham,lets meet after 31st of august
spam,"Dear Customer, You have made a Debit Card purchase of INR500.00 on 31 Jan. Info.VPS*NARAYANA HR. Your Net Available Balance is INR 1,02,612.81."
ham,will u join him ?
spam,Your transaction on BOOK MY SHOW using HDFC Bank Credit Card ending 8066 is declined. Pls try again.
ham,Lets meet for soccer match at 6pm.
ham,when are we going to the party tomorrow?
spam,"IM-EDMGOA, 29/06/2016,Use Coupon code ""ESTR10"" &amp; get 30% + 10% discount (Pre-booking offer).Booking validity 15/07/16. Call at 7334299155 OPTOUT SMS myop 233c to 56070' toa=""null"" sc_toa=""null"" service_center=""null"" read=""1"" status=""-1"" locked=""0"" date_sent=""0"" readable_date=""Jun 29, 2016 5:41:46 PM"" contact_name=""(Unknown)"" />"
spam,Your friend has referred you to Lenskart. Use one-time Rs500 cash voucher on your 1st purchase @ www.lenskart.com/frame .Use GIFT-REGI5-4YJI-WIYRI @checkout
ham,have to attend john's birthday party this sat
ham,Party at 8 PM to 1 AM @ my mentor's house on October 7th
ham,meet you on the first sat of next month
spam,"Delivered: Your package withHimalaya Erina Coat Cleanser, 130 mlwas successfully delivered. More info at http://amazon.com/cBfWh1e"
spam,"Dear Air India Customer, flight 1E775 from UDR shall be boarding from gate 19W. Boarding gate closes7 mins prior to the departure time."
ham,flight from paloalto tmrw at 5pm
ham,I think I left my mac and cheese in the oven! Can you get it out for me?
spam,"Dear Customer, Your Ac XXXXXXXX3700 is credited with INR51,590.00 on 14 Apr. Info.ACCT CLOSURE TRANSACTION. Your Net Available Balance is INR95,583.58."
ham,Are you still going to my sister's wedding on Saturday?
ham,i have to dine with john's mother today
spam,"Greetings, YES Bank wishes you a Happy Ram Navami."
ham,Do you want to head out for the weekend in SF?
spam,"Dear INDIGO Customer, flight 8B148 from DHM shall be boarding from gate 27P. Boarding gate closes13 mins prior to the departure time."
spam,"Dear SPICE JET Customer, flight 3Q226 from PAB shall be boarding from gate 9H. Boarding gate closes28 mins prior to the departure time."
spam,"Dear customer, We wish you a Happy Ram Navami. Thanks for being a Aircel customer."
ham,remove participant
spam,"Your Tkt Cancelled. PNR, 76512626262, Amt 1550 will be refunded in your account."
ham,yes we need to discuss the ibm proposal.
ham,you should'nt tell her till Friday
ham,lets meet next evening
spam,Visit SOBHA CARNIVAL at Sobha The Park and The Plaza on 17th and 18th September & avail Exclusive offer on 2&3bhk apts. For more information Call9729342234
spam,"Greetings, Aryan Auto Agency wishes you a Blessed Good Friday."
ham,Hey!! R u busy next week
spam,"Greetings, AirportTaxi wishes you a Happy Independence day."
ham,meet john in june and august on 5th
spam,OTP is 315876 for the txn of INR 2938.00 at INDIGO on your SBI bank Debit card ending with 4312. Valid till 15:12:17. Do not share the OTP with anyone for security reasons
spam,"Your Tkt Cancelled. PNR, 21273266888, Amt 1917 will be refunded in your account."
spam,"Dear Customer, with reference to the Service request no. 56134265 on yourReliance Mobile, the defaulting unregistered telemarketer number has been disconnected by the concerned operator basis the reported violation. If you are not satisfied with the resolution, contact 176"
ham,ohh really…sure we'll meet then
ham,No I am not leaving early. Wat happened?
ham,Can you pickup Vindu from her Sketching class..
ham,i am supposed to drop off rohini and kailash at nishu's home at 5:20pm
ham,basketball Thursday afternoon August 15th
ham,lets meet for a month during winter 2016
ham,attend john's wedding @ 100 feet road
spam,"Greetings, Meru wishes you a Happy Marriage Anniversary."
spam,OTP is 282521 for the txn of INR 6769.00 at ShopClues on your HDFC bank CREDIT card ending with 1845. Valid till 2:51:35. Do not share the OTP with anyone for security reasons
spam,"Dear customer, We wish you a Blessed Good Friday. Thanks for being a SPICE JET customer."
ham,Anyways lets congratulate dem on their wedding day :)
ham,Wanna have a HP movie marathon?
ham,lets meet mondays of oct
spam,"Dear INDIGO Customer, flight 2G244 from SLV shall be boarding from gate 5Q. Boarding gate closes9 mins prior to the departure time."
ham,remember about the electricity bill due on 4th
ham,Sure. I will b there
spam,Samsung Smartphone Sale Exclusively for our Corporate Partners from 3rd ~ 7th Oct. Grab now for ASSURED GIFTS on our Best Sedwardthompson1553@microsoft.com
ham,Nice of u dear :) be present sharp @ 17:30 hours day after tomorrow
ham,how about monday at 7:00pm
ham,Okie.. Over FB..?
spam,"Your Tkt Cancelled. PNR, 27361146452, Amt 705 will be refunded in your account."
ham,put the pen in the pocket before leaving
ham,"I'm sure I already know the answer, but any chance you're available today or tomorrow?"
spam,"Hello calvin Y, the status of your complaint W020120443 is changed to Resolved. If you feel that your issue has not been fixed, please change status to Reopen ."
ham,When is Tara's Bday?
spam,Delivered: Your package withSri High Quality Stainless Steel Blades With Safety Guard Dog Nail Clipper~was successfully delivered. More info at http://ebay.com/cBfWh1e
ham,turn on the data every morning 10am
ham,I must meet for dinner at 8 in morn and 6 in eve
ham,I think 1 Kg is enough
spam,Delivered: Your package withStyle Homez 1 Kg Premium Bea...was successfully delivered. More info at http://amazon.com/cBfWh1e
spam,"Dear JET Airways Customer, flight 2X351 from NAG shall be boarding from gate 4R. Boarding gate closes3 mins prior to the departure time."
spam,OTP is 181178 for the txn of INR 16129.00 at Flipkart on your AXIS bank CREDIT card ending with 4358. Valid till 5:31:28. Do not share the OTP with anyone for security reasons
spam,"Your product ""samz_novelty"" was shipped via 3M Clear Bra Paint P(AWB NO. DTDC) on A31660639. Track the order at 22-Jan-16 . Please wait 24-48 hours for the tracking details to be activated.' toa=""null"" sc_toa=""null"" service_center=""8849839343"" read=""1"" status=""-1"" locked=""0"" date_sent=""7079776123985"" readable_date=""Jan 22, 2016 8:35:12 PM"" contact_name=""(Unknown)"" />"
spam,"Your Tkt Cancelled. PNR, 78451266513, Amt 1218 will be refunded in your account."
ham,turn on the ac. turn it off at 7
ham,yup see you then.
ham,last day for paying the tution fees is next month 15th
spam,LAST DAY!&#10;&#10;Rs.500 XTRA DISCOUNT on Apparel @ fbb &amp; Big Bazaar&#10;&#10;Use code 2006643505 valid ONLY TODAY on purchase of Rs.2000&#10;&#10;Summer Collection goo.gl/2pLcug&#10;&#10;TC
ham,mary had a little lamb
spam,"Update on your First Citizen A/c ending 1303. Purchase 2 Ladies Western Wear from STOP, Life, Haute Curry or Fratini Woman &amp; Get 1 FREE. Offer valid on select merchandise till 27 Nov '16. T&amp;C apply."
spam,Delivered: Your package withNikon AF-S DX Nikkor 35mm f/1.8...was successfully delivered. More info at http://snapdeal.com/cBfWh1e
ham,How do u all feel the DDL tool box Wiki?
ham,call mary at 7 to 9
ham,how about tomorrow at 10
spam,"Rs.698.29 was spent on ur HDFCBank CREDIT Card ending 8066 on 2017-03-28:18:47:01 at BHzkgrTTvFlo81055.Avl bal - Rs.95989.65, curr o/s - Rs.29010.35"
ham,Do you want to play poker at my place tonight?
ham,"Meeting with John, Abhanshu and Vidushi at samsung building."
ham,need to meet you today
spam,"Dear AirAsia Customer, flight 8W588 from GWL shall be boarding from gate 29Y. Boarding gate closes13 mins prior to the departure time."
spam,"Greetings, UCO Bank wishes you a Happy Onam."
ham,i have to meet john within an hour for an hour
ham,attend the lecture from 4:56 to 5:45pm on fridays
spam,"Dear customer, We wish you a Happy Independence day. Thanks for being a CitiBank India customer."
spam,"Greetings, Canara Bank wishes you a Happy Ganesh Chaturthi."
spam,"Dear Air India Customer, flight 2M181 from LKO shall be boarding from gate 16U. Boarding gate closes21 mins prior to the departure time."
ham,yeah that works.
ham,i will attend nishu's birthday
ham,need to drop Aryan and Ryan to Ryan International School tomorrow morning at 5.
ham,visit rohini today
ham,Oh woow..Congartulations dear..Where is the venue? And at what time day or evening?
ham,"I won't be at my house@that time, will b at my sis-in-law's house."
ham,John and Mary will meet me.
ham,set a meeting for Miss Tasha
spam,"Dear INDIGO Customer, flight 5C642 from HBX shall be boarding from gate 1A. Boarding gate closes14 mins prior to the departure time."
ham,Nothing special. Why?
ham,drop off john to school
spam,"Dear Member, you are now unsubscribed from our messages.To opt in call +913734163887"
spam,"Dear Customer, Your ICICI Bank Account XXXX4087 has been debited with INR22,928.00"
ham,Did u bring the Royal Enfield Classic 350 ??
ham,i will call you at wedding
ham,hey lets go bowling next week!
ham,lets meet tomorrow after 1
ham,"John's manager, Tony has gone to Korea."
ham,Did u get to know abt Mindfulness Workshop @ Seattle next month?
ham,add a calendar event pickup mail at my next free time
ham,id love to! how does dinner friday sound?
ham,hey lets get some ice cream after dinner tonight
ham,remind listen by betty 23 6 am
ham,What did he tell??
spam,OTP is 224646 for the txn of INR 3675.00 at Flipkart on your HDFC bank CREDIT card ending with 7238. Valid till 20:20:36. Do not share the OTP with anyone for security reasons
ham,need to attend mona's birthday party tonight
ham,pay rent before 5th
ham,movie in the evening
ham,It starts from 3rd October
spam,"If you do not wish to receive SMS from sender ID PLAYCR, send STOP PLAYCR to 9715831205"
spam,"Rs.5517.00 was spent on ur HDFCBank CREDIT Card ending 7967 on 2016-01-25:11:33:17 at HOTEL SAVERA.Avl bal - Rs.51561.00, curr o/s - Rs.73439.00"
ham,meet john at the train station tomorrow morning
spam,"Your Tkt Cancelled. PNR, 86665782776, Amt 989 will be refunded in your account."
ham,Sounds good mam !
ham,Totally busy today..If u free I will call now only
ham,check messages 1 hour a day
ham,call mary at the jungle
ham,"I can drop u@EMC2, S.P Road or can pick u up from Cognizant@ISB Road."
ham,Hey are you attending the Emotional Intelligence Training tomorrow?
ham,attend board of directors meeting coming monday
ham,Wht time do I need the guys there Saturday morning?!
ham,enquire mary whether she is available on monday
spam,Delivered: Your package withLogitech M91 USC Mo..was successfully delivered. More info at http://amazon.com/cBfWh1e
ham,Hey....I have to pay my electricity bills by the end of this month
ham,That sounds great
ham,there is a new restaurant in town. Wanna go?
ham,Are you coming to the party on Saturday?
spam,Delivered: Your package with5V one Channel Relay Module FOR...was successfully delivered. More info at http://myantra.com/cBfWh1e
spam,"Dear Air India Customer, flight 3D177 from DIU shall be boarding from gate 27K. Boarding gate closes8 mins prior to the departure time."
ham,Need to pay 10% of Rs 1000
ham,Probably like 6 inches
ham,Why don't you come over to home this weekend ?
spam,"Dear INDIGO Customer, flight 1I751 from TIR shall be boarding from gate 19Y. Boarding gate closes1 mins prior to the departure time."
spam,"Dear Air India Customer, flight 7P476 from ATQ shall be boarding from gate 17A. Boarding gate closes10 mins prior to the departure time."
ham,remind me abt tomorrow's meeting @ 10
ham,at his residence
spam,"Greetings, IDBI Bank wishes you a Happy Birthday."
spam,Spice up your freaky friday with hot deals! Get flat 30% off @ Behrouz &amp; Buy 1 Get 1 @ Pizza Hut today. Get 15% MobiKwik cash back too goo.gl/mWgvjP *T&amp;C.
spam,Sunglasses Summer Sale ! Get Flat 30% Off + Extra 25% Off + 25% cashback on Sunglasses &amp; many more offers. Last Day today. Shop Now @ www.lenskart.com/sun50
ham,Thanks..i wil wish him during lunch
ham,do you want to get lunch tomorrow?
spam,OTP is 182874 for the txn of INR 12874.00 at AMAZON SELLER SERVICES on your AXIS bank Debit card ending with 7314. Valid till 16:41:58. Do not share the OTP with anyone for security reasons
spam,OTP is 276851 for the txn of INR 2410.00 at Maruti Auto Agency on your SBI bank Debit card ending with 3238. Valid till 10:16:47. Do not share the OTP with anyone for security reasons
ham,Yes..We could make it for his wedding. It was gr8
spam,"Dear Customer, You have made a Debit Card purchase of INR754.26 on 06 Jan. Info.IIN*Paytm Mobil. Your Net Available Balance is INR 45,966.92."
ham,"Ok, I'll be there"
ham,cuppa with mary williams on saturday next week
spam,"Greetings, Idea wishes you a Happy Republic Day."
ham,When n where is the 97th Canadian Chemistry Conference??
spam,Delivered: Your package withIntex SMPSwas successfully delivered. More info at http://myantra.com/cBfWh1e
spam,OTP is 287443 for the txn of INR 7584.00 at Jabong on your ICICI bank CREDIT card ending with 6613. Valid till 12:39:29. Do not share the OTP with anyone for security reasons
ham,hey john do not forget to wish tom for his birthday
spam,Delivered: Your package withSurf Excel Matic Front Load Detergent PoA4 & 2 other itemswas successfully delivered. More info at http://ebay.com/cBfWh1e
spam,OTP is 363412 for the txn of INR 13259.00 at True Value on your HDFC bank Debit card ending with 6134. Valid till 12:32:54. Do not share the OTP with anyone for security reasons
ham,Swach Bharat abhiyan meeting.Come and attend it.
ham,lol yeah I know. But aight. The one by McDonald's cool?
spam,Rs 35.00 was spent on your Credit Card 4315XXXXXXXX8922 on 01-JUN-17 at GREEN NEST FRESH PRI.
spam,#HungerStrikeDay8 our peaceful protesters arrested by police are returning to Freedom Park.Join us by 4.30PM for a important announcement.
ham,I am planning to attend Asha Bhosle's music function @5pm at The Elanza Hotel
ham,call john on every 1st 12pm
spam,"Delivered: Your package withPedigree Puppy Dog Food Milk & Vegetables, 1.3 kg Packwas successfully delivered. More info at http://amazon.com/cBfWh1e"
ham,talk to that john
ham,to discuss the proposal
spam,"Delivered: Your package withPickup reminder: Your return pick up for Cellbell BTMBAG1003 3D Premium... is scheduled for tomorrow, May 24, between 10AM-1PM.was successfully delivered. More info at http://flipkart.com/cBfWh1e"
spam,You paid UBER Rs.696.91 with your Paytm Wallet. Loved the cashless Paytm experience? Click http://m.p-y.tm/admy to add money to your Paytm wallet.
ham,have to call mary today
ham,Grt. At wht time?
spam,Delivered: Your package withChina Maid Laundry bag for keeping your dirty cloths.was successfully delivered. More info at http://myantra.com/cBfWh1e
ham,Call Swati and ask her to join us for dinner
ham,he will call me at 5
spam,"Rs.250.00 was spent on ur HDFCBank CREDIT Card ending 7967 on 2016-01-03:13:17:28 at PADMAVATHI ENTERPRISES.Avl bal - Rs.93013.00, curr o/s - Rs.31987.00"
ham,Sure dear. Thank u so much :)
ham,i must attend the chemistry class on tuesday 2-3pm
ham,pick up john on the way to go to the wedding tomorrow
ham,"Its director is one f my closet friends, so, need to attend it at any cost."
ham,lets meet on coming lunch before 2
ham,"Sure, what did you have in mind?"
ham,pull wrench from store
spam,"your number is the winner of 196882 crore 042429 lakh from bmw motors company 838540 stanniversary.to claim send:name,number,age,address,email to:bmw 302056 fernandogarcia1554@yahoo.com"
spam,"Your Tkt Cancelled. PNR, 37152312774, Amt 2290 will be refunded in your account."
ham,nishu's birthday is day after tomorrow. attend her birthday party.
spam,"Dear SPICE JET Customer, flight 1J327 from TCR shall be boarding from gate 22I. Boarding gate closes26 mins prior to the departure time."
ham,john will meet mary between 7:30 pm and 9:00
spam,"Extra 5% Cashback on EMI trxns at Viveks Electronic stores with SBI Credit Card. Min. trnx: Rs.20,000. Max Cashback: Rs.2000. Validity: 03 Jun - 02 Jul '17. T&C"
spam,"Dear Air India Customer, flight 8W768 from TRZ shall be boarding from gate 6P. Boarding gate closes2 mins prior to the departure time."
ham,How about the coffeehouse downtown
ham,Hey! Could you pick me up tonight?
ham,Children..there is a talk on Numatics @ The Morgan Library And Museum
spam,Delivered: Your package withThe Official Guide to the GRE RevisA4was successfully delivered. More info at http://myantra.com/cBfWh1e
spam,"To Pay Rs. 200.00 to PAYTM, from your Card XX...4913, use OTP. BEWARE!ONLY fraudsters ask OTP on phone.OTP is 405499.Don't share with anyone."
ham,It's his birthday party.
spam,"Dear Air India Customer, flight 5V764 from SLV shall be boarding from gate 18J. Boarding gate closes28 mins prior to the departure time."
ham,Ya.. Lets have a bash.
ham,Whr's ur new office?
spam,Delivered: Your package withDettol Disinfectant Multi-Us...was successfully delivered. More info at http://jabong.com/cBfWh1e
spam,OTP is 485755 for the txn of INR 18777.00 at JET Airways on your HDFC bank Debit card ending with 3888. Valid till 17:16:52. Do not share the OTP with anyone for security reasons
ham,lets meet during the next two hours
spam,You paid UBER Rs.347.60. Happy Akshaya Tritiya! Get upto Rs 101 cashback on Digital Gold. Details: http://m.p-y.tm/ube Promo: UBERGOLD
spam,"Dear AirAsia Customer, flight 8B826 from PNQ shall be boarding from gate 22R. Boarding gate closes5 mins prior to the departure time."
ham,Y r u not replying?? R u still in that meeting with ur stupid boss??
ham,Get sugarcane juice and truffle today.....:-)
spam,Burnpur Cement &#10;CMP 15 trgt 50+ SL 14&#10;Low interest rate has directly led to a jump in real estate sector in turn boosting demand for Cement
ham,It's no problem at all just wanted to know what was up
spam,"Greetings, Docomo wishes you a Happy Muharram."
ham,kailash's electricity bill is due. remind him to pay
ham,Really..I mean y?
ham,Could you schedule a meeting with Jaya and her group ?
ham,I should turn on the geyser in the morning every day.
spam,"Dear INDIGO Customer, flight 6Z356 from GAY shall be boarding from gate 22J. Boarding gate closes23 mins prior to the departure time."
ham,Most definately. I will
ham,That's a good idea..
spam,OTP is 315761 for the txn of INR 15179.00 at True Value on your AXIS bank Debit card ending with 4854. Valid till 13:35:58. Do not share the OTP with anyone for security reasons
ham,make a call to john tomorrow
spam,OTP is 433431 for the txn of INR 1982.00 at Snapdeal on your ICICI bank CREDIT card ending with 7225. Valid till 5:18:47. Do not share the OTP with anyone for security reasons
spam,"Thank you for placing your order at ZopNow, India's largest online grocery store. Order id: 16360150 Invoice Value: Rs1061.25"
ham,enquire nishu about the appointment details
spam,"Dear INDIGO Customer, flight 8T574 from BHO shall be boarding from gate 20A. Boarding gate closes8 mins prior to the departure time."
ham,remind me to shut the coloring app on my phone asap
spam,Recharge Advice!! Recharge with 425 and get 60000 Secs for Local/National Any-net Voice call. Validity-72 days.For More Offers visit http://karnataka.bsnl.co.in
ham,they will meet me in central mall on 13th
ham,"Hey, I am in Santee today. What do you usually do for lunch? Or, maybe we can see a movie Sunday morning?"
ham,Day after 2mrw eve at 6
spam,OTP is 655517 for the txn of INR 4327.00 at Jabong on your AXIS bank Debit card ending with 5574. Valid till 4:48:50. Do not share the OTP with anyone for security reasons
ham,meet john for lunch on this coming thursday
spam,"Rs.2000.00 was spent on ur HDFCBank CREDIT Card ending 7967 on 2015-12-06:12:57:01 at SHELL S S R ENTERPRISES.Avl bal - Rs.39821.00, curr o/s - Rs.85179.00"
ham,meeting is from 5pm
ham,looking forward to it.
ham,Hey Ma'm..It is already 15th of this month and you have not paid your Rent
ham,i have a dentist appointment on saturday at 6pm
ham,skype john today evening
ham,"Yes we do, where should we meet you and when ?"
ham,he he . I know he is ur best friend
ham,yeah i'll be home at 4pm
ham,bring laptop to office
spam,"Greetings, PNB wishes you a Happy Muharram."
spam,Delivered: Your package withPhilips Beard Trimmer Cordless for Men QT4001/15was successfully delivered. More info at http://patm.com/cBfWh1e
ham,remind me have a glass of milk and two apple tomorrow morning or evening
ham,Let's go to the beach tomorrow
ham,Kk I'll be there
ham,wil wish her on that day :)
ham,u will call all of them
ham,Are you going to Jason's grad dinner?
spam,OTP is 322264 for the txn of INR 12988.00 at Jabong on your HDFC bank CREDIT card ending with 2436. Valid till 22:37:16. Do not share the OTP with anyone for security reasons
spam,"Greetings, Flipkart wishes you a Happy Birthday."
spam,"Dear Customer, Your Ac XXXXXXXX6206 is debited with INR5,000.00 24 Jul. Info.INF*309170292704*Monthly exp. Your Total Avbl. Bal is INR34,719.48."
ham,Ok baby..will bring both by this Saturday.
spam,"Greetings, Uber wishes you a Happy Muharram."
ham,on friday i have an appointment with rohini in ulsoor
ham,i have to pay all my dues
spam,OTP is 113764 for the txn of INR 18245.00 at Flipkart on your AXIS bank CREDIT card ending with 2264. Valid till 20:43:22. Do not share the OTP with anyone for security reasons
ham,Remind John about the invite for dinner at Dominoes
spam,"Greetings, PNB wishes you a Happy Onam."
spam,OTP is 361738 for the txn of INR 8369.00 at Ebay on your SBI bank Debit card ending with 2525. Valid till 17:17:35. Do not share the OTP with anyone for security reasons
spam,OTP is 527884 for the txn of INR 1632.00 at KSRTC on your SBI bank Debit card ending with 2351. Valid till 16:42:47. Do not share the OTP with anyone for security reasons
spam,Delivered: Your package withDettol Disinfectant Multi-Us...was successfully delivered. More info at http://jabong.com/cBfWh1e
ham,Let's go to the store at 11am.
spam,"Greetings, Air India wishes you a Blessed Good Friday."
ham,Ok Then please confirm my appointment at 2.30 p.m.
ham,today night video conference with purnima and neeru
ham,Would be u interested?
spam,OTP is 612478 for the txn of INR 17352.00 at Meru on your HDFC bank CREDIT card ending with 5133. Valid till 0:55:19. Do not share the OTP with anyone for security reasons
ham,i am going to north korea on 4th. need to meet nishu there
spam,"Dear JET Airways Customer, flight 2U326 from RRK shall be boarding from gate 15M. Boarding gate closes14 mins prior to the departure time."
ham,meeting is early morning tomorrow
spam,"Rs.262.00 was spent on ur HDFCBank CREDIT Card ending 8066 on 2017-02-11:20:03:54 at NARAYANA HRUDAYALAY.Avl bal - Rs.73644.91, curr o/s - Rs.51355.09"
spam,OTP is 622285 for the txn of INR 7820.00 at Lakshmi Auto Agency on your HDFC bank CREDIT card ending with 3183. Valid till 1:55:38. Do not share the OTP with anyone for security reasons
spam,Delivered: Your package withHEERAN ART Polyresin Sitting Buddha 25 cm ORBwas successfully delivered. More info at http://patm.com/cBfWh1e
ham,create food menu tonight
spam,"Rs.85902.00 was spent on ur HDFCBank CREDIT Card ending 8066 on 2017-05-18:02:49:42 at CLEARTRIP TRAVEL SERVI.Avl bal - Rs.28839.00, curr o/s - Rs.96161.00"
ham,stopby my home to meet me tomorrow
ham,Yes around 6:00 PM in the gym itself.
spam,"Dear AirAsia Customer, flight 4E368 from RTC shall be boarding from gate 12F. Boarding gate closes8 mins prior to the departure time."
spam,Cannot process request. Your mobile number is already registered. TID :57123223471
spam,OTP is 344165 for the txn of INR 9220.00 at ShopClues on your AXIS bank CREDIT card ending with 7615. Valid till 0:47:58. Do not share the OTP with anyone for security reasons
spam,"Dear Air India Customer, flight 3U182 from COK shall be boarding from gate 28N. Boarding gate closes18 mins prior to the departure time."
spam,Cannot process request. Your mobile number is already registered. TID :44327432342
spam,"Your Tkt Cancelled. PNR, 77372651485, Amt 704 will be refunded in your account."
ham,But i will call and congratulate Sam today @ 7
